,price,bedrooms,bathrooms,sqft_living,floors,view,grade,sqft_above,sqft_basement,lat,long,sqft_living15,WaterFront,month_sold,age,yrs_reno,Renovated,dist_to_Seattle,Bellevue,Federal Way,Kent,Renton,Seattle,rel_size
27,667000.0,3,1.0,1400,1.5,0.0,8,1400,0,47.6221,-122.314,1860,0,12,105,105.0,0,1.38,0,0,0,0,1,0.7526881720430108
28,438000.0,3,1.75,1520,1.0,0.0,7,790,730,47.695,-122.304,1520,0,6,66,66.0,0,6.18,0,0,0,0,1,1.0
29,719000.0,4,2.5,2570,2.0,0.0,8,2570,0,47.7073,-122.11,2630,0,3,10,10.0,0,12.52,1,0,0,0,0,0.9771863117870723
30,580500.0,3,2.5,2320,2.0,0.0,8,2320,0,47.5391,-122.07,2580,0,11,11,11.0,0,13.24,1,0,0,0,0,0.8992248062015504
31,280000.0,2,1.5,1190,3.0,0.0,7,1190,0,47.7274,-122.35700000000001,1390,0,12,9,9.0,0,8.31,0,0,0,0,1,0.8561151079136691
32,687500.0,4,1.75,2330,1.5,0.0,7,1510,820,47.6823,-122.368,1460,0,6,85,85.0,0,5.35,0,0,0,0,1,1.595890410958904
33,535000.0,3,1.0,1090,1.5,0.0,8,1090,0,47.6889,-122.375,1570,0,11,85,85.0,0,5.88,0,0,0,0,1,0.6942675159235668
34,322500.0,4,2.75,2060,1.0,0.0,7,1280,780,47.4276,-122.15700000000001,2020,0,12,33,33.0,0,14.97,0,0,0,1,0,1.0198019801980198
35,696000.0,3,2.5,2300,1.5,0.0,8,1510,790,47.6827,-122.31,1590,0,6,84,12.0,1,5.29,0,0,0,0,1,1.4465408805031446
37,640000.0,4,2.0,2360,2.0,0.0,8,2360,0,47.6702,-122.36200000000001,1730,0,12,110,110.0,0,4.47,0,0,0,0,1,1.3641618497109826
38,240000.0,4,1.0,1220,1.0,0.0,7,890,330,47.3341,-122.28200000000001,1290,0,2,46,46.0,0,19.07,0,1,0,0,0,0.9457364341085271
39,605000.0,4,2.5,2620,2.0,0.0,8,2620,0,47.5301,-122.18,2620,0,6,18,18.0,0,9.01,0,0,0,1,0,1.0
40,625000.0,4,2.5,2570,2.0,0.0,9,2570,0,47.6145,-122.027,2470,0,7,14,14.0,0,14.35,1,0,0,0,0,1.040485829959514
42,861990.0,5,2.75,3595,2.0,0.0,9,3595,0,47.6848,-122.016,3625,0,7,0,0.0,0,15.76,1,0,0,0,0,0.9917241379310345
43,685000.0,3,1.0,1570,2.0,0.0,7,1570,0,47.6413,-122.36399999999999,1580,0,10,92,92.0,0,2.66,0,0,0,0,1,0.9936708860759493
44,309000.0,3,1.0,1280,1.0,0.0,6,920,360,47.4485,-122.175,1340,0,7,55,55.0,0,13.31,0,0,0,1,0,0.9552238805970149
45,488000.0,3,2.5,3160,2.0,0.0,8,3160,0,47.7443,-121.977,3050,0,7,11,11.0,0,19.13,1,0,0,0,0,1.0360655737704918
46,210490.0,3,1.0,990,1.0,0.0,6,990,0,47.3066,-122.37100000000001,1228,0,3,49,49.0,0,20.88,0,1,0,0,0,0.8061889250814332
48,450000.0,3,1.75,1250,1.0,0.0,7,1250,0,47.6796,-122.301,970,0,4,62,62.0,0,5.19,0,0,0,0,1,1.288659793814433
50,228000.0,3,1.0,1190,1.0,0.0,7,1190,0,47.4258,-122.322,1190,0,9,59,59.0,0,12.6,0,0,1,0,0,1.0
51,345000.0,5,2.5,3150,1.0,0.0,8,1640,1510,47.4934,-122.189,1990,0,2,49,49.0,0,10.44,0,0,0,1,0,1.5829145728643217
52,600000.0,3,1.75,1410,1.0,0.0,7,1000,410,47.6808,-122.384,1410,0,12,64,64.0,0,5.52,0,0,0,0,1,1.0
53,585000.0,2,1.75,1980,1.0,0.0,7,990,990,47.6989,-122.369,1480,0,2,34,34.0,0,6.47,0,0,0,0,1,1.337837837837838
54,920000.0,5,2.25,2730,1.5,0.0,8,2130,600,47.6571,-122.281,2730,0,3,88,88.0,0,4.22,0,0,0,0,1,1.0
55,885000.0,4,2.5,2830,2.0,0.0,9,2830,0,47.6597,-122.29,1950,0,5,19,19.0,0,4.14,0,0,0,0,1,1.4512820512820512
56,292500.0,4,2.5,2250,2.0,0.0,7,2250,0,47.3663,-122.11399999999999,2250,0,8,6,6.0,0,19.62,0,0,1,0,0,1.0
57,301000.0,3,2.5,2420,2.0,0.0,8,2420,0,47.3663,-122.12200000000001,2690,0,4,12,12.0,0,19.43,0,0,1,0,0,0.8996282527881041
58,951000.0,5,3.25,3250,2.0,4.0,8,3250,0,47.588,-122.116,2960,0,8,46,46.0,0,10.3,1,0,0,0,0,1.097972972972973
59,430000.0,4,3.0,1850,2.0,0.0,8,1850,0,47.5059,-122.149,2270,0,2,24,24.0,0,11.18,0,0,0,1,0,0.8149779735682819
61,289000.0,3,1.75,1260,1.0,0.0,7,1260,0,47.4366,-122.335,1290,0,8,60,60.0,0,11.84,0,0,1,0,0,0.9767441860465116
62,505000.0,3,1.75,2519,2.0,0.0,8,2519,0,47.4428,-122.344,2500,0,10,41,41.0,0,11.41,0,0,0,1,0,1.0076
63,549000.0,3,1.75,1540,3.0,0.0,8,1540,0,47.6765,-122.32,1580,0,12,0,0.0,0,4.78,0,0,0,0,1,0.9746835443037974
64,425000.0,3,2.25,1660,1.0,0.0,7,1110,550,47.6113,-122.29700000000001,1440,0,6,35,35.0,0,1.79,0,0,0,0,1,1.1527777777777777
65,317625.0,3,2.75,2770,1.5,0.0,7,1770,1000,47.5747,-122.304,1440,0,11,89,89.0,0,2.72,0,0,0,0,1,1.9236111111111112
67,287000.0,4,2.5,2240,2.0,0.0,7,2240,0,47.3378,-122.257,2221,0,10,9,9.0,0,19.01,0,1,0,0,0,1.0085547050877983
68,204000.0,3,1.0,1000,1.0,0.0,7,1000,0,47.3621,-122.11,1010,0,8,46,46.0,0,19.97,0,0,1,0,0,0.9900990099009901
71,325000.0,3,2.0,1260,1.0,0.0,7,1260,0,47.7362,-122.179,1640,0,1,43,43.0,0,11.45,1,0,0,0,0,0.7682926829268293
72,571000.0,4,2.0,2750,1.5,0.0,7,2250,500,47.7168,-122.287,1510,0,6,98,98.0,0,7.84,0,0,0,0,1,1.8211920529801324
73,360000.0,4,2.5,2380,2.0,0.0,8,2380,0,47.3608,-122.036,2420,0,7,9,9.0,0,22.05,0,0,1,0,0,0.9834710743801653
76,380000.0,4,1.75,1760,1.0,0.0,7,880,880,47.6034,-122.125,1680,0,10,58,58.0,0,9.79,1,0,0,0,0,1.0476190476190477
77,480000.0,3,1.0,1040,1.0,0.0,7,1040,0,47.5636,-122.39399999999999,890,0,4,74,74.0,0,4.11,0,0,0,0,1,1.1685393258426966
78,410000.0,3,1.0,1410,1.0,0.0,7,910,500,47.7073,-122.34,1130,0,6,58,58.0,0,6.86,0,0,0,0,1,1.247787610619469
80,390000.0,3,2.5,2350,2.0,0.0,8,2350,0,47.3512,-122.008,2350,0,12,11,11.0,0,23.4,0,0,1,0,0,1.0
81,360000.0,4,2.5,1900,2.0,0.0,7,1900,0,47.349,-122.031,1870,0,12,22,22.0,0,22.83,0,0,1,0,0,1.0160427807486632
82,355000.0,2,1.0,2020,1.0,0.0,7,1010,1010,47.5474,-122.291,1720,0,10,66,66.0,0,4.66,0,0,0,0,1,1.1744186046511629
83,356000.0,3,1.5,1680,1.0,0.0,8,1680,0,47.4811,-122.149,1850,0,1,51,51.0,0,12.33,0,0,0,1,0,0.9081081081081082
84,315000.0,3,1.0,960,1.0,0.0,6,960,0,47.7264,-122.31,1570,0,6,62,62.0,0,8.26,0,0,0,0,1,0.6114649681528662
85,940000.0,3,1.5,2140,2.0,0.0,9,1900,240,47.6337,-122.365,2020,0,11,89,89.0,0,2.25,0,0,0,0,1,1.0594059405940595
86,305000.0,5,2.25,2660,1.5,0.0,7,2660,0,47.2909,-122.189,1590,0,11,53,53.0,0,22.93,0,1,0,0,0,1.6729559748427674
87,461000.0,3,3.25,2770,2.0,0.0,9,1980,790,47.5228,-122.199,1900,0,6,8,8.0,0,8.65,0,0,0,1,0,1.4578947368421054
88,215000.0,2,2.25,1610,2.0,0.0,7,1610,0,47.518,-122.194,1950,0,5,35,35.0,0,9.05,0,0,0,1,0,0.8256410256410256
89,335000.0,2,1.75,1030,2.0,0.0,7,765,265,47.5394,-122.387,1030,0,9,8,8.0,0,5.32,0,0,0,0,1,1.0
90,243500.0,4,2.5,1980,2.0,0.0,7,1980,0,47.2897,-122.37200000000001,1980,0,5,26,26.0,0,22.05,0,1,0,0,0,1.0
92,153000.0,3,1.0,1200,1.0,0.0,7,1200,0,47.321999999999996,-122.351,1350,0,2,53,53.0,0,19.76,0,1,0,0,0,0.8888888888888888
93,430000.0,3,1.5,1580,1.0,0.0,8,1290,290,47.687,-122.38600000000001,1570,0,7,75,75.0,0,5.94,0,0,0,0,1,1.0063694267515924
94,700000.0,3,1.5,1580,1.0,0.0,8,1290,290,47.687,-122.38600000000001,1570,0,12,75,75.0,0,5.94,0,0,0,0,1,1.0063694267515924
95,905000.0,4,2.5,3300,1.0,0.0,7,2390,910,47.5873,-122.249,1950,0,9,68,23.0,1,4.26,1,0,0,0,0,1.6923076923076923
97,199000.0,4,1.5,1160,1.0,0.0,7,1160,0,47.3036,-122.37799999999999,1160,0,9,39,39.0,0,21.11,0,1,0,0,0,1.0
100,850830.0,3,2.5,2070,1.5,0.0,9,1270,800,47.6415,-122.315,2200,0,6,104,104.0,0,2.5,0,0,0,0,1,0.9409090909090909
101,555000.0,3,2.0,1980,1.5,0.0,7,1440,540,47.6775,-122.37200000000001,1610,0,10,85,85.0,0,5.09,0,0,0,0,1,1.2298136645962734
105,375000.0,3,2.5,2340,1.0,0.0,8,1460,880,47.4431,-122.133,2250,0,4,37,37.0,0,14.78,0,0,0,1,0,1.04
106,460000.0,3,1.0,1670,1.5,0.0,7,1170,500,47.6878,-122.38,1240,0,5,75,75.0,0,5.89,0,0,0,0,1,1.346774193548387
107,188500.0,2,1.75,1240,1.0,0.0,8,1240,0,47.3813,-122.322,1270,0,7,29,29.0,0,15.67,0,1,0,0,0,0.9763779527559056
109,470000.0,5,1.75,2030,2.0,0.0,7,2030,0,47.6417,-122.109,2500,0,8,72,72.0,0,10.78,1,0,0,0,0,0.812
110,597750.0,4,2.5,2310,2.0,0.0,8,2310,0,47.5386,-122.053,1940,0,7,30,30.0,0,13.99,1,0,0,0,0,1.190721649484536
111,570000.0,3,1.75,1260,1.0,0.0,6,700,560,47.6823,-122.34899999999999,1380,0,3,110,110.0,0,5.17,0,0,0,0,1,0.9130434782608695
112,272500.0,3,1.75,1540,1.0,0.0,7,1160,380,47.3624,-122.031,1540,0,9,34,34.0,0,22.11,0,0,1,0,0,1.0
113,329950.0,3,1.75,2080,1.0,2.0,7,1080,1000,47.5474,-122.295,2090,0,11,43,43.0,0,4.58,0,0,0,0,1,0.9952153110047847
116,518500.0,3,3.5,1590,3.0,0.0,8,1590,0,47.6824,-122.34700000000001,1620,0,6,4,4.0,0,5.17,0,0,0,0,1,0.9814814814814815
117,205425.0,2,1.0,880,1.0,0.0,6,880,0,47.5009,-122.24799999999999,1190,0,6,69,69.0,0,8.44,0,0,0,1,0,0.7394957983193278
118,171800.0,4,2.0,1570,1.0,0.0,6,1570,0,47.4965,-122.303,1880,0,1,65,65.0,0,7.84,0,0,0,1,0,0.8351063829787234
119,535000.0,4,1.0,1610,1.5,0.0,7,1610,0,47.586999999999996,-122.294,1610,0,5,90,90.0,0,2.4,0,0,0,0,1,1.0
120,660000.0,3,2.5,2400,1.0,2.0,8,1560,840,47.7728,-122.38600000000001,2340,0,1,51,51.0,0,11.62,0,0,0,0,1,1.0256410256410255
121,391500.0,3,2.0,1450,1.0,0.0,7,1450,0,47.7288,-122.226,1580,0,11,27,27.0,0,9.76,1,0,0,0,0,0.9177215189873418
122,395000.0,2,1.0,770,1.0,0.0,6,770,0,47.6999,-122.36399999999999,1710,0,4,62,62.0,0,6.48,0,0,0,0,1,0.4502923976608187
123,445000.0,4,1.75,2100,1.5,0.0,7,1720,380,47.5299,-122.266,1850,0,11,90,90.0,0,6.28,0,0,0,1,0,1.135135135135135
126,445000.0,3,2.25,2100,1.0,2.0,8,1620,480,47.5091,-122.244,2660,0,7,47,47.0,0,8.04,0,0,0,1,0,0.7894736842105263
127,260000.0,4,2.25,2160,1.0,0.0,8,1360,800,47.3129,-122.39,2090,0,7,36,36.0,0,20.54,0,1,0,0,0,1.0334928229665072
128,822500.0,5,3.5,2320,2.0,0.0,7,1720,600,47.6763,-122.352,1700,0,6,88,88.0,0,4.78,0,0,0,0,1,1.3647058823529412
129,430000.0,4,2.5,2070,2.0,0.0,7,2070,0,47.5319,-121.85,1970,0,4,11,11.0,0,23.2,1,0,0,0,0,1.0507614213197969
130,212000.0,3,1.75,1060,1.0,0.0,7,1060,0,47.2761,-122.152,1420,0,1,29,29.0,0,24.46,0,1,0,0,0,0.7464788732394366
131,660500.0,4,2.25,2010,1.0,0.0,8,1440,570,47.5343,-122.054,2060,0,4,29,29.0,0,14.05,0,0,0,1,0,0.9757281553398058
133,453246.0,3,2.5,2010,2.0,0.0,8,1390,620,47.5517,-121.99799999999999,1690,0,5,0,0.0,0,16.18,1,0,0,0,0,1.1893491124260356
134,675000.0,4,3.5,2140,3.0,0.0,9,2140,0,47.6734,-122.38,1540,0,1,10,10.0,0,4.97,0,0,0,0,1,1.3896103896103895
136,220000.0,4,1.75,2020,1.0,0.0,7,1010,1010,47.3309,-122.29899999999999,1750,0,8,46,46.0,0,19.21,0,1,0,0,0,1.1542857142857144
137,452000.0,4,2.25,2590,1.0,0.0,8,1340,1250,47.7689,-122.266,1550,0,5,46,46.0,0,11.56,1,0,0,0,0,1.6709677419354838
138,382500.0,2,1.0,1190,1.0,0.0,6,1190,0,47.7135,-122.287,1060,0,7,33,33.0,0,7.62,0,0,0,0,1,1.1226415094339623
139,519950.0,3,2.25,1170,3.0,0.0,8,1170,0,47.6722,-122.381,1350,0,5,0,0.0,0,4.92,0,0,0,0,1,0.8666666666666667
140,665000.0,2,1.0,1110,1.0,0.0,7,1110,0,47.6338,-122.35799999999999,1170,0,6,89,89.0,0,2.07,0,0,0,0,1,0.9487179487179487
141,527700.0,5,2.5,2820,1.0,0.0,8,1550,1270,47.5707,-122.12799999999999,2820,0,7,46,46.0,0,9.99,1,0,0,0,0,1.0
142,205000.0,3,1.0,1610,1.0,0.0,7,1010,600,47.4563,-122.171,1610,0,5,53,53.0,0,12.97,0,0,0,1,0,1.0
143,420000.0,3,1.0,1060,1.0,0.0,7,940,120,47.7144,-122.351,1560,0,4,92,92.0,0,7.38,0,0,0,0,1,0.6794871794871795
144,500000.0,4,2.25,2030,1.0,0.0,8,1380,650,47.5495,-122.17399999999999,2230,0,2,54,54.0,0,8.52,1,0,0,0,0,0.9103139013452914
146,890000.0,4,1.0,2550,2.0,0.0,8,2370,180,47.6354,-122.353,2200,0,6,109,109.0,0,2.07,0,0,0,0,1,1.1590909090909092
149,511000.0,3,1.0,1430,1.0,0.0,7,980,450,47.6873,-122.336,1450,0,11,67,67.0,0,5.47,0,0,0,0,1,0.9862068965517241
150,532170.0,3,2.0,1360,2.0,0.0,8,1360,0,47.6838,-122.353,1500,0,8,24,24.0,0,5.3,0,0,0,0,1,0.9066666666666666
151,560000.0,3,1.0,1110,1.5,0.0,7,1110,0,47.655,-122.359,1420,0,4,68,68.0,0,3.43,0,0,0,0,1,0.7816901408450704
152,282950.0,3,1.0,1250,1.0,0.0,7,1250,0,47.3255,-122.304,1680,0,3,61,61.0,0,19.56,0,1,0,0,0,0.7440476190476191
154,350000.0,1,1.0,700,1.0,0.0,7,700,0,47.678999999999995,-122.3,1010,0,5,72,72.0,0,5.17,0,0,0,0,1,0.693069306930693
155,215000.0,3,1.0,1180,1.0,0.0,7,1180,0,47.4479,-122.176,1190,0,7,47,47.0,0,13.31,0,0,0,1,0,0.9915966386554622
157,320000.0,4,2.75,2640,1.0,0.0,8,1620,1020,47.3135,-122.369,1980,0,8,47,47.0,0,20.4,0,1,0,0,0,1.3333333333333333
158,247000.0,3,2.0,1270,1.5,0.0,7,1270,0,47.2086,-121.99600000000001,1160,0,11,98,1.0,1,31.81,0,0,1,0,0,1.0948275862068966
159,320000.0,4,1.75,1760,1.0,0.0,8,1760,0,47.4715,-122.118,1730,0,10,46,46.0,0,13.83,0,0,0,1,0,1.0173410404624277
160,255000.0,5,2.25,2060,1.0,0.0,7,1030,1030,47.4877,-122.335,1010,0,5,52,52.0,0,8.31,0,0,0,1,0,2.0396039603960396
161,438000.0,3,1.75,1780,1.0,0.0,7,1780,0,47.7171,-122.193,1200,0,3,53,53.0,0,10.02,1,0,0,0,0,1.4833333333333334
163,441000.0,3,2.75,1910,1.0,0.0,7,1160,750,47.7319,-122.22399999999999,1710,0,6,35,35.0,0,9.99,1,0,0,0,0,1.1169590643274854
165,370000.0,3,1.75,1580,1.0,0.0,7,1180,400,47.7209,-122.16799999999999,1640,0,12,38,38.0,0,11.01,1,0,0,0,0,0.9634146341463414
166,269950.0,2,1.75,1340,1.0,0.0,5,700,640,47.408,-122.32700000000001,1830,0,2,66,66.0,0,13.82,0,0,1,0,0,0.73224043715847
167,807100.0,4,2.5,2680,2.0,0.0,9,2680,0,47.565,-122.125,2920,0,3,16,16.0,0,10.23,1,0,0,0,0,0.9178082191780822
168,653000.0,3,2.5,2680,1.0,0.0,8,1610,1070,47.7028,-122.23100000000001,2480,0,6,35,35.0,0,8.14,1,0,0,0,0,1.0806451612903225
169,371500.0,3,2.0,1370,1.0,0.0,7,1370,0,47.7458,-122.331,1770,0,6,50,50.0,0,9.52,0,0,0,0,1,0.7740112994350282
171,272000.0,3,1.75,2160,1.0,0.0,7,1670,490,47.3026,-122.374,1930,0,1,37,37.0,0,21.17,0,1,0,0,0,1.1191709844559585
172,313000.0,3,1.5,1340,1.5,0.0,7,1340,0,47.7658,-122.339,1480,0,5,59,59.0,0,10.9,0,0,0,0,1,0.9054054054054054
174,673000.0,4,2.25,2590,2.0,0.0,8,2590,0,47.5619,-122.125,2260,0,9,34,34.0,0,10.29,1,0,0,0,0,1.1460176991150441
175,425000.0,3,2.5,1120,2.0,0.0,8,820,300,47.6106,-122.31,1590,0,2,7,7.0,0,1.19,0,0,0,0,1,0.7044025157232704
176,399950.0,5,2.75,1970,1.0,0.0,7,1320,650,47.5868,-122.30799999999999,1280,0,7,28,28.0,0,1.94,0,0,0,0,1,1.5390625
177,385000.0,3,1.0,1220,1.0,0.0,6,1220,0,47.6101,-122.307,1200,0,5,113,113.0,0,1.32,0,0,0,0,1,1.0166666666666666
179,330000.0,2,1.0,1350,1.0,0.0,7,1060,290,47.7224,-122.35799999999999,1540,0,1,66,66.0,0,7.97,0,0,0,0,1,0.8766233766233766
180,260000.0,3,2.5,1670,2.0,0.0,7,1670,0,47.3505,-122.179,1670,0,7,26,26.0,0,19.22,0,0,1,0,0,1.0
181,470000.0,4,3.0,2380,1.5,0.0,7,1680,700,47.5384,-122.376,1410,0,4,90,90.0,0,5.17,0,0,0,0,1,1.6879432624113475
182,589000.0,4,3.0,2440,2.0,0.0,7,2440,0,47.7044,-122.2,2290,0,6,53,53.0,0,9.15,1,0,0,0,0,1.0655021834061136
183,163500.0,2,1.5,1050,2.0,0.0,7,1050,0,47.3848,-122.039,1050,0,7,18,18.0,0,20.7,0,0,1,0,0,1.0
184,835000.0,4,2.75,3130,2.0,0.0,9,2140,990,47.6993,-122.102,2260,0,9,21,21.0,0,12.54,1,0,0,0,0,1.3849557522123894
186,269000.0,4,1.75,1490,1.0,0.0,8,1100,390,47.3099,-122.37899999999999,2190,0,4,46,46.0,0,20.68,0,1,0,0,0,0.680365296803653
187,560000.0,3,2.5,1900,2.0,0.0,8,1900,0,47.62,-122.04299999999999,2030,0,5,27,27.0,0,13.62,1,0,0,0,0,0.9359605911330049
188,615000.0,4,1.0,1330,1.5,0.0,6,1330,0,47.65,-122.34,1330,0,4,114,114.0,0,2.91,0,0,0,0,1,1.0
189,585188.0,3,2.25,2230,1.0,0.0,8,1430,800,47.6647,-122.15299999999999,2230,0,12,39,39.0,0,9.34,1,0,0,0,0,1.0
190,305000.0,3,1.75,1650,1.0,0.0,7,1220,430,47.726000000000006,-122.191,1540,0,8,37,37.0,0,10.55,1,0,0,0,0,1.0714285714285714
191,166950.0,3,1.0,1190,1.0,0.0,6,1190,0,47.4616,-122.184,1230,0,11,55,55.0,0,12.32,0,0,0,1,0,0.967479674796748
192,799000.0,3,2.5,2140,1.0,0.0,8,2140,0,47.5505,-122.219,2680,0,9,55,55.0,0,6.71,1,0,0,0,0,0.7985074626865671
193,400000.0,3,2.5,2180,1.0,0.0,7,1420,760,47.7606,-122.336,1900,0,6,52,52.0,0,10.54,0,0,0,0,1,1.1473684210526316
194,230000.0,3,1.0,1060,1.0,0.0,7,1060,0,47.7481,-122.3,1570,0,12,66,66.0,0,9.81,0,0,0,0,1,0.6751592356687898
195,256883.0,3,2.5,1690,2.0,0.0,8,1690,0,47.2779,-122.34700000000001,2550,0,5,11,11.0,0,22.8,0,1,0,0,0,0.6627450980392157
196,423000.0,4,2.0,1970,1.5,0.0,7,1130,840,47.5511,-122.31200000000001,1500,0,11,94,94.0,0,4.08,0,0,0,0,1,1.3133333333333332
197,465000.0,3,2.5,2150,2.0,0.0,8,2150,0,47.5488,-122.37200000000001,1750,0,7,7,7.0,0,4.43,0,0,0,0,1,1.2285714285714286
200,210000.0,3,1.0,860,1.0,0.0,6,860,0,47.5093,-122.184,1300,0,3,72,72.0,0,9.8,0,0,0,1,0,0.6615384615384615
201,297000.0,3,2.5,1940,2.0,0.0,8,1940,0,47.3777,-122.165,2030,0,11,20,20.0,0,17.77,0,0,1,0,0,0.9556650246305419
202,470000.0,3,1.0,1010,1.0,0.0,7,1010,0,47.675,-122.39399999999999,1680,0,7,62,62.0,0,5.37,0,0,0,0,1,0.6011904761904762
203,226500.0,3,1.5,1300,1.0,0.0,7,900,400,47.3025,-122.37,1430,0,8,38,38.0,0,21.16,0,1,0,0,0,0.9090909090909091
204,274250.0,3,1.0,910,1.0,0.0,6,910,0,47.4787,-122.15799999999999,1400,0,3,53,53.0,0,12.16,0,0,0,1,0,0.65
205,840000.0,4,1.75,2480,1.0,0.0,9,1630,850,47.5378,-122.219,2770,0,8,48,48.0,0,7.27,0,0,0,1,0,0.8953068592057761
206,677900.0,3,2.5,2440,2.0,0.0,8,2440,0,47.7073,-122.11399999999999,2750,0,9,4,4.0,0,12.36,1,0,0,0,0,0.8872727272727273
207,425000.0,3,1.0,1010,1.0,0.0,7,1010,0,47.5733,-122.381,1290,0,2,100,100.0,0,3.21,0,0,0,0,1,0.7829457364341085
210,320000.0,4,2.25,1550,2.0,0.0,8,1550,0,47.354,-122.04700000000001,1630,0,4,22,22.0,0,22.1,0,0,1,0,0,0.950920245398773
211,625504.0,3,2.25,1270,2.0,0.0,8,1060,210,47.6647,-122.28399999999999,1160,0,7,0,0.0,0,4.58,0,0,0,0,1,1.0948275862068966
212,592500.0,4,2.5,2240,1.0,0.0,9,2240,0,47.6143,-122.01700000000001,2520,0,5,31,31.0,0,14.82,1,0,0,0,0,0.8888888888888888
214,477000.0,4,2.75,1720,2.0,0.0,8,1720,0,47.5458,-122.26799999999999,2130,0,5,36,36.0,0,5.31,0,0,0,1,0,0.8075117370892019
217,445838.0,3,2.5,2250,2.0,0.0,8,2250,0,47.5133,-122.37899999999999,1320,0,7,14,14.0,0,6.85,0,0,0,0,1,1.7045454545454546
219,467000.0,2,1.5,1320,1.0,0.0,8,1320,0,47.7145,-122.367,2120,0,10,67,67.0,0,7.5,0,0,0,0,1,0.6226415094339622
220,686000.0,4,2.5,2760,2.0,0.0,10,2760,0,47.5836,-122.02600000000001,3070,0,8,15,15.0,0,14.49,1,0,0,0,0,0.8990228013029316
