,nearest_city
327,Seattle
328,Renton
329,Bellevue
330,Seattle
331,Kent
332,Federal Way
333,Seattle
334,Bellevue
335,Kent
336,Bellevue
337,Seattle
338,Seattle
339,Renton
340,Bellevue
341,Renton
342,Seattle
343,Federal Way
344,Bellevue
345,Renton
346,Renton
347,Renton
348,Kent
349,Seattle
350,Bellevue
351,Bellevue
352,Kent
353,Seattle
354,Federal Way
355,Renton
356,Kent
357,Bellevue
358,Bellevue
359,Seattle
360,Bellevue
361,Renton
362,Kent
363,Bellevue
364,Bellevue
365,Renton
366,Renton
367,Bellevue
368,Bellevue
369,Renton
370,Renton
371,Seattle
372,Seattle
373,Federal Way
374,Renton
375,Bellevue
376,Seattle
377,Kent
378,Seattle
379,Seattle
380,Bellevue
381,Bellevue
382,Bellevue
383,Bellevue
384,Bellevue
385,Bellevue
386,Bellevue
387,Renton
388,Renton
389,Seattle
390,Seattle
391,Bellevue
392,Bellevue
393,Bellevue
394,Bellevue
395,Bellevue
396,Bellevue
397,Bellevue
398,Seattle
399,Renton
400,Seattle
401,Federal Way
402,Seattle
403,Renton
404,Kent
405,Seattle
406,Seattle
407,Kent
408,Renton
409,Kent
410,Kent
411,Federal Way
412,Bellevue
413,Bellevue
414,Renton
415,Bellevue
416,Bellevue
417,Seattle
418,Bellevue
419,Bellevue
420,Seattle
421,Bellevue
422,Renton
423,Renton
424,Seattle
425,Kent
426,Renton
427,Bellevue
428,Bellevue
429,Renton
430,Kent
431,Bellevue
432,Seattle
433,Renton
434,Bellevue
435,Bellevue
436,Bellevue
437,Bellevue
438,Seattle
439,Seattle
440,Federal Way
441,Federal Way
442,Seattle
443,Kent
444,Kent
445,Bellevue
446,Bellevue
447,Bellevue
448,Bellevue
449,Bellevue
450,Bellevue
451,Bellevue
452,Kent
453,Bellevue
454,Bellevue
455,Bellevue
456,Bellevue
457,Federal Way
458,Renton
459,Kent
460,Bellevue
461,Kent
462,Kent
463,Federal Way
464,Seattle
465,Bellevue
466,Seattle
467,Kent
468,Renton
469,Kent
470,Renton
471,Bellevue
472,Seattle
473,Bellevue
474,Bellevue
475,Bellevue
476,Seattle
477,Seattle
478,Seattle
479,Bellevue
480,Bellevue
481,Kent
482,Bellevue
483,Seattle
484,Bellevue
485,Federal Way
486,Bellevue
487,Renton
488,Bellevue
489,Bellevue
490,Bellevue
491,Renton
492,Kent
493,Bellevue
494,Bellevue
495,Seattle
496,Seattle
497,Kent
498,Seattle
499,Bellevue
500,Bellevue
501,Seattle
502,Kent
503,Bellevue
504,Renton
505,Renton
506,Seattle
507,Seattle
508,Seattle
509,Bellevue
510,Bellevue
511,Renton
512,Bellevue
513,Seattle
514,Seattle
515,Seattle
516,Kent
517,Bellevue
518,Seattle
519,Renton
520,Renton
521,Renton
522,Seattle
523,Renton
524,Seattle
525,Bellevue
526,Bellevue
527,Bellevue
528,Seattle
529,Bellevue
530,Kent
531,Federal Way
532,Bellevue
533,Kent
534,Kent
535,Renton
536,Bellevue
537,Seattle
538,Kent
539,Renton
540,Kent
541,Renton
542,Kent
543,Bellevue
544,Kent
545,Bellevue
546,Bellevue
547,Seattle
548,Renton
549,Renton
550,Bellevue
551,Seattle
552,Seattle
553,Renton
554,Bellevue
555,Renton
556,Bellevue
557,Kent
558,Bellevue
559,Kent
560,Renton
561,Kent
562,Seattle
563,Bellevue
564,Bellevue
565,Bellevue
566,Renton
567,Seattle
568,Seattle
569,Bellevue
570,Kent
571,Bellevue
572,Seattle
573,Seattle
574,Renton
575,Renton
576,Kent
577,Bellevue
578,Bellevue
579,Federal Way
580,Bellevue
581,Federal Way
582,Seattle
583,Bellevue
584,Kent
585,Renton
586,Seattle
587,Bellevue
588,Kent
589,Seattle
590,Bellevue
591,Kent
592,Renton
593,Kent
594,Renton
595,Renton
596,Seattle
597,Renton
598,Federal Way
599,Bellevue
600,Bellevue
601,Kent
602,Kent
603,Bellevue
604,Bellevue
605,Kent
606,Seattle
607,Seattle
608,Kent
609,Bellevue
610,Seattle
611,Seattle
612,Bellevue
613,Bellevue
614,Kent
615,Seattle
616,Bellevue
617,Bellevue
618,Renton
619,Kent
620,Kent
621,Seattle
622,Federal Way
623,Seattle
624,Seattle
625,Renton
626,Seattle
627,Seattle
628,Seattle
629,Kent
630,Kent
631,Seattle
632,Renton
633,Bellevue
634,Seattle
635,Bellevue
636,Kent
637,Renton
638,Federal Way
639,Seattle
640,Seattle
641,Federal Way
642,Bellevue
643,Seattle
644,Bellevue
645,Kent
646,Seattle
647,Seattle
648,Kent
649,Renton
650,Renton
651,Bellevue
652,Renton
653,Seattle
654,Bellevue
655,Bellevue
656,Bellevue
657,Bellevue
658,Bellevue
659,Bellevue
660,Renton
661,Renton
662,Seattle
663,Seattle
664,Bellevue
665,Renton
666,Seattle
667,Seattle
668,Federal Way
669,Seattle
670,Seattle
671,Seattle
672,Renton
673,Seattle
674,Renton
675,Bellevue
676,Renton
677,Renton
678,Seattle
679,Bellevue
680,Federal Way
681,Bellevue
682,Kent
683,Seattle
684,Seattle
685,Bellevue
686,Federal Way
687,Bellevue
688,Seattle
689,Bellevue
690,Renton
691,Bellevue
692,Renton
693,Seattle
694,Bellevue
695,Kent
696,Bellevue
697,Kent
698,Kent
699,Bellevue
700,Seattle
701,Renton
702,Bellevue
703,Seattle
704,Renton
705,Federal Way
706,Bellevue
707,Bellevue
708,Renton
709,Kent
710,Kent
711,Kent
712,Bellevue
713,Federal Way
714,Bellevue
715,Kent
716,Seattle
717,Seattle
718,Seattle
719,Kent
720,Kent
721,Seattle
722,Bellevue
723,Bellevue
724,Renton
725,Renton
726,Kent
727,Seattle
728,Renton
729,Bellevue
730,Renton
731,Renton
732,Bellevue
733,Seattle
734,Kent
735,Renton
736,Seattle
737,Bellevue
738,Seattle
739,Federal Way
740,Kent
741,Seattle
742,Bellevue
743,Bellevue
744,Seattle
745,Bellevue
746,Seattle
747,Bellevue
748,Seattle
749,Bellevue
750,Seattle
751,Seattle
752,Seattle
753,Bellevue
754,Seattle
755,Federal Way
756,Bellevue
757,Seattle
758,Bellevue
759,Renton
760,Bellevue
761,Seattle
762,Bellevue
763,Kent
764,Renton
765,Bellevue
766,Bellevue
767,Kent
768,Seattle
769,Federal Way
770,Renton
771,Renton
772,Seattle
773,Seattle
774,Bellevue
775,Bellevue
776,Renton
777,Seattle
778,Kent
779,Seattle
780,Renton
781,Bellevue
782,Seattle
783,Seattle
784,Bellevue
785,Federal Way
786,Seattle
787,Renton
788,Federal Way
789,Seattle
790,Bellevue
791,Bellevue
792,Bellevue
793,Renton
794,Renton
795,Seattle
796,Bellevue
797,Bellevue
798,Bellevue
799,Bellevue
800,Seattle
801,Bellevue
802,Bellevue
803,Bellevue
804,Seattle
805,Bellevue
806,Kent
807,Renton
808,Bellevue
809,Kent
810,Bellevue
811,Seattle
812,Renton
813,Bellevue
814,Bellevue
815,Kent
816,Bellevue
817,Kent
818,Renton
819,Kent
820,Federal Way
821,Kent
822,Seattle
823,Seattle
824,Seattle
825,Renton
826,Seattle
827,Renton
828,Bellevue
829,Bellevue
830,Seattle
831,Renton
832,Federal Way
833,Bellevue
834,Federal Way
835,Federal Way
836,Bellevue
837,Bellevue
838,Kent
839,Kent
840,Renton
841,Seattle
842,Bellevue
843,Kent
844,Seattle
845,Renton
846,Seattle
847,Bellevue
848,Bellevue
849,Federal Way
850,Bellevue
851,Kent
852,Seattle
853,Bellevue
854,Federal Way
855,Renton
856,Kent
857,Renton
858,Renton
859,Kent
860,Renton
861,Seattle
862,Bellevue
863,Seattle
864,Federal Way
865,Kent
866,Renton
867,Bellevue
868,Seattle
869,Kent
870,Seattle
871,Bellevue
872,Bellevue
873,Bellevue
874,Bellevue
875,Kent
876,Bellevue
877,Federal Way
878,Renton
879,Seattle
880,Seattle
881,Federal Way
882,Seattle
883,Seattle
884,Bellevue
885,Seattle
886,Seattle
887,Bellevue
888,Bellevue
889,Bellevue
890,Seattle
891,Kent
892,Seattle
893,Seattle
894,Bellevue
895,Renton
896,Bellevue
897,Bellevue
898,Kent
899,Bellevue
900,Bellevue
901,Renton
902,Seattle
903,Renton
904,Seattle
905,Kent
906,Kent
907,Seattle
908,Seattle
909,Federal Way
910,Bellevue
911,Federal Way
912,Seattle
913,Renton
914,Seattle
915,Seattle
916,Kent
917,Seattle
918,Renton
919,Federal Way
920,Bellevue
921,Renton
922,Renton
923,Seattle
924,Bellevue
925,Kent
926,Renton
927,Seattle
928,Renton
929,Renton
930,Bellevue
931,Kent
932,Kent
933,Seattle
934,Seattle
935,Kent
936,Seattle
937,Kent
938,Bellevue
939,Seattle
940,Seattle
941,Seattle
942,Seattle
943,Seattle
944,Renton
945,Federal Way
946,Bellevue
947,Renton
948,Bellevue
949,Seattle
950,Seattle
951,Bellevue
952,Seattle
953,Bellevue
954,Seattle
955,Seattle
956,Kent
957,Seattle
958,Seattle
959,Seattle
960,Bellevue
961,Seattle
962,Kent
963,Bellevue
964,Renton
965,Federal Way
966,Bellevue
967,Bellevue
968,Bellevue
969,Seattle
970,Kent
971,Seattle
972,Bellevue
973,Bellevue
974,Bellevue
975,Kent
976,Federal Way
977,Federal Way
978,Renton
979,Renton
980,Bellevue
981,Renton
982,Seattle
983,Seattle
984,Seattle
985,Kent
986,Renton
987,Seattle
988,Bellevue
989,Bellevue
990,Seattle
991,Seattle
992,Federal Way
993,Renton
994,Kent
995,Federal Way
996,Seattle
997,Kent
998,Federal Way
999,Seattle
1000,Renton
1001,Federal Way
1002,Seattle
1003,Kent
1004,Seattle
1005,Bellevue
1006,Federal Way
1007,Bellevue
1008,Seattle
1009,Seattle
1010,Bellevue
1011,Bellevue
1012,Bellevue
1013,Seattle
1014,Renton
1015,Bellevue
1016,Seattle
1017,Renton
1018,Kent
1019,Bellevue
1020,Kent
1021,Bellevue
1022,Bellevue
1023,Seattle
1024,Kent
1025,Seattle
1026,Seattle
1027,Kent
1028,Seattle
1029,Seattle
1030,Seattle
1031,Bellevue
1032,Federal Way
1033,Bellevue
1034,Seattle
1035,Renton
1036,Seattle
1037,Kent
1038,Bellevue
1039,Federal Way
1040,Bellevue
1041,Seattle
1042,Renton
1043,Bellevue
1044,Bellevue
1045,Bellevue
1046,Renton
1047,Bellevue
1048,Seattle
1049,Seattle
1050,Seattle
1051,Bellevue
1052,Bellevue
1053,Seattle
1054,Kent
1055,Bellevue
1056,Seattle
1057,Seattle
1058,Renton
1059,Kent
1060,Bellevue
1061,Seattle
1062,Renton
1063,Seattle
1064,Seattle
1065,Renton
1066,Seattle
1067,Kent
1068,Bellevue
1069,Renton
1070,Seattle
1071,Bellevue
1072,Seattle
1073,Seattle
1074,Renton
1075,Renton
1076,Seattle
1077,Seattle
1078,Seattle
1079,Federal Way
1080,Renton
1081,Federal Way
1082,Seattle
1083,Renton
1084,Seattle
1085,Seattle
1086,Renton
1087,Renton
1088,Renton
1089,Bellevue
1090,Bellevue
1091,Bellevue
1092,Seattle
1093,Bellevue
1094,Bellevue
1095,Kent
1096,Seattle
1097,Seattle
1098,Renton
1099,Renton
1100,Seattle
1101,Seattle
1102,Federal Way
1103,Bellevue
1104,Bellevue
1105,Bellevue
1106,Seattle
1107,Seattle
1108,Kent
1109,Federal Way
1110,Federal Way
1111,Kent
1112,Bellevue
1113,Bellevue
1114,Renton
1115,Seattle
1116,Bellevue
1117,Seattle
1118,Renton
1119,Kent
1120,Renton
1121,Bellevue
1122,Renton
1123,Seattle
1124,Renton
1125,Seattle
1126,Renton
1127,Renton
1128,Renton
1129,Seattle
1130,Bellevue
1131,Renton
1132,Renton
1133,Renton
1134,Seattle
1135,Seattle
1136,Kent
1137,Kent
1138,Bellevue
1139,Seattle
1140,Seattle
1141,Bellevue
1142,Bellevue
1143,Renton
1144,Renton
1145,Bellevue
1146,Seattle
1147,Seattle
1148,Seattle
1149,Bellevue
1150,Bellevue
1151,Kent
1152,Renton
1153,Seattle
1154,Bellevue
1155,Renton
1156,Kent
1157,Seattle
1158,Kent
1159,Seattle
1160,Bellevue
1161,Bellevue
1162,Bellevue
1163,Seattle
1164,Bellevue
1165,Federal Way
1166,Federal Way
1167,Kent
1168,Seattle
1169,Bellevue
1170,Bellevue
1171,Bellevue
1172,Bellevue
1173,Seattle
1174,Bellevue
1175,Seattle
1176,Kent
1177,Seattle
1178,Bellevue
1179,Bellevue
1180,Bellevue
1181,Seattle
1182,Bellevue
1183,Seattle
1184,Renton
1185,Federal Way
1186,Seattle
1187,Renton
1188,Renton
1189,Kent
1190,Renton
1191,Seattle
1192,Seattle
1193,Seattle
1194,Seattle
1195,Bellevue
1196,Seattle
1197,Renton
1198,Kent
1199,Bellevue
1200,Seattle
1201,Seattle
1202,Federal Way
1203,Bellevue
1204,Seattle
1205,Seattle
1206,Bellevue
1207,Seattle
1208,Seattle
1209,Renton
1210,Seattle
1211,Kent
1212,Seattle
1213,Bellevue
1214,Bellevue
1215,Seattle
1216,Federal Way
1217,Bellevue
1218,Federal Way
1219,Bellevue
1220,Bellevue
1221,Kent
1222,Seattle
1223,Seattle
1224,Kent
1225,Kent
1226,Seattle
1227,Kent
1228,Bellevue
1229,Seattle
1230,Kent
1231,Federal Way
1232,Kent
1233,Kent
1234,Kent
1235,Bellevue
1236,Bellevue
1237,Seattle
1238,Bellevue
1239,Renton
1240,Bellevue
1241,Kent
1242,Seattle
1243,Bellevue
1244,Bellevue
1245,Seattle
1246,Bellevue
1247,Seattle
1248,Renton
1249,Renton
1250,Seattle
1251,Renton
1252,Federal Way
1253,Bellevue
1254,Seattle
1255,Kent
1256,Seattle
1257,Kent
1258,Bellevue
1259,Renton
1260,Bellevue
1261,Seattle
1262,Kent
1263,Bellevue
1264,Renton
1265,Seattle
1266,Kent
1267,Seattle
1268,Renton
1269,Kent
1270,Bellevue
1271,Kent
1272,Seattle
1273,Seattle
1274,Bellevue
1275,Bellevue
1276,Seattle
1277,Bellevue
1278,Renton
1279,Bellevue
1280,Bellevue
1281,Bellevue
1282,Seattle
1283,Renton
1284,Kent
1285,Renton
1286,Renton
1287,Kent
1288,Renton
1289,Renton
1290,Federal Way
1291,Seattle
1292,Kent
1293,Seattle
1294,Bellevue
1295,Seattle
1296,Bellevue
1297,Kent
1298,Seattle
1299,Seattle
1300,Kent
1301,Seattle
1302,Bellevue
1303,Bellevue
1304,Seattle
1305,Bellevue
1306,Federal Way
1307,Seattle
1308,Federal Way
1309,Kent
1310,Seattle
1311,Renton
1312,Renton
1313,Bellevue
1314,Bellevue
1315,Bellevue
1316,Kent
1317,Seattle
1318,Bellevue
1319,Bellevue
1320,Seattle
1321,Kent
1322,Renton
1323,Renton
1324,Seattle
1325,Seattle
1326,Seattle
1327,Renton
1328,Bellevue
1329,Federal Way
1330,Seattle
1331,Renton
1332,Seattle
1333,Bellevue
1334,Seattle
1335,Seattle
1336,Bellevue
1337,Renton
1338,Bellevue
1339,Bellevue
1340,Seattle
1341,Federal Way
1342,Seattle
1343,Seattle
1344,Bellevue
1345,Bellevue
1346,Seattle
1347,Seattle
1348,Seattle
1349,Renton
1350,Seattle
1351,Bellevue
1352,Seattle
1353,Seattle
1354,Bellevue
1355,Bellevue
1356,Seattle
1357,Seattle
1358,Seattle
1359,Bellevue
1360,Bellevue
1361,Bellevue
1362,Renton
1363,Renton
1364,Seattle
1365,Kent
1366,Bellevue
1367,Bellevue
1368,Renton
1369,Seattle
1370,Kent
1371,Seattle
1372,Kent
1373,Seattle
1374,Kent
1375,Renton
1376,Seattle
1377,Seattle
1378,Bellevue
1379,Kent
1380,Bellevue
1381,Bellevue
1382,Seattle
1383,Renton
1384,Bellevue
1385,Kent
1386,Federal Way
1387,Kent
1388,Bellevue
1389,Seattle
1390,Seattle
1391,Seattle
1392,Bellevue
1393,Kent
1394,Bellevue
1395,Bellevue
1396,Bellevue
1397,Bellevue
1398,Kent
1399,Kent
1400,Seattle
1401,Renton
1402,Bellevue
1403,Bellevue
1404,Renton
1405,Kent
1406,Renton
1407,Seattle
1408,Bellevue
1409,Bellevue
1410,Renton
1411,Seattle
1412,Bellevue
1413,Renton
1414,Federal Way
1415,Seattle
1416,Seattle
1417,Seattle
1418,Renton
1419,Bellevue
1420,Bellevue
1421,Seattle
1422,Seattle
1423,Bellevue
1424,Federal Way
1425,Bellevue
1426,Bellevue
1427,Kent
1428,Bellevue
1429,Seattle
1430,Seattle
1431,Bellevue
1432,Seattle
1433,Renton
1434,Bellevue
1435,Seattle
1436,Bellevue
1437,Bellevue
1438,Bellevue
1439,Kent
1440,Seattle
1441,Renton
1442,Bellevue
1443,Seattle
1444,Bellevue
1445,Renton
1446,Bellevue
1447,Kent
1448,Seattle
1449,Seattle
1450,Kent
1451,Renton
1452,Bellevue
1453,Bellevue
1454,Seattle
1455,Seattle
1456,Seattle
1457,Bellevue
1458,Seattle
1459,Seattle
1460,Kent
1461,Seattle
1462,Bellevue
1463,Bellevue
1464,Seattle
1465,Seattle
1466,Seattle
1467,Seattle
1468,Renton
1469,Renton
1470,Renton
1471,Seattle
1472,Federal Way
1473,Bellevue
1474,Bellevue
1475,Bellevue
1476,Federal Way
1477,Seattle
1478,Bellevue
1479,Bellevue
1480,Bellevue
1481,Bellevue
1482,Seattle
1483,Renton
1484,Federal Way
1485,Bellevue
1486,Bellevue
1487,Renton
1488,Renton
1489,Seattle
1490,Bellevue
1491,Bellevue
1492,Bellevue
1493,Bellevue
1494,Federal Way
1495,Seattle
1496,Seattle
1497,Renton
1498,Kent
1499,Kent
1500,Renton
1501,Renton
1502,Seattle
1503,Federal Way
1504,Seattle
1505,Federal Way
1506,Renton
1507,Kent
1508,Federal Way
1509,Renton
1510,Bellevue
1511,Renton
1512,Renton
1513,Bellevue
1514,Kent
1515,Bellevue
1516,Seattle
1517,Bellevue
1518,Kent
1519,Seattle
1520,Kent
1521,Kent
1522,Bellevue
1523,Bellevue
1524,Bellevue
1525,Bellevue
1526,Bellevue
1527,Bellevue
1528,Bellevue
1529,Seattle
1530,Seattle
1531,Bellevue
1532,Seattle
1533,Renton
1534,Seattle
1535,Bellevue
1536,Renton
1537,Bellevue
1538,Seattle
1539,Seattle
1540,Seattle
1541,Bellevue
1542,Bellevue
1543,Federal Way
1544,Renton
1545,Bellevue
1546,Renton
1547,Seattle
1548,Federal Way
1549,Federal Way
1550,Kent
1551,Renton
1552,Renton
1553,Bellevue
1554,Kent
1555,Bellevue
1556,Bellevue
1557,Seattle
1558,Seattle
1559,Bellevue
1560,Renton
1561,Seattle
1562,Seattle
1563,Bellevue
1564,Federal Way
1565,Kent
1566,Bellevue
1567,Bellevue
1568,Bellevue
1569,Federal Way
1570,Bellevue
1571,Bellevue
1572,Kent
1573,Bellevue
1574,Federal Way
1575,Federal Way
1576,Seattle
1577,Seattle
1578,Seattle
1579,Seattle
1580,Bellevue
1581,Seattle
1582,Bellevue
1583,Renton
1584,Bellevue
1585,Seattle
1586,Seattle
1587,Seattle
1588,Bellevue
1589,Seattle
1590,Renton
1591,Seattle
1592,Seattle
1593,Bellevue
1594,Seattle
1595,Bellevue
1596,Bellevue
1597,Seattle
1598,Kent
1599,Seattle
1600,Bellevue
1601,Bellevue
1602,Federal Way
1603,Seattle
1604,Renton
1605,Federal Way
1606,Renton
1607,Kent
1608,Seattle
1609,Renton
1610,Renton
1611,Bellevue
1612,Renton
1613,Kent
1614,Seattle
1615,Seattle
1616,Seattle
1617,Seattle
1618,Kent
1619,Kent
1620,Kent
1621,Seattle
1622,Renton
1623,Renton
1624,Seattle
1625,Seattle
1626,Seattle
1627,Seattle
1628,Renton
1629,Bellevue
1630,Bellevue
1631,Renton
1632,Renton
1633,Bellevue
1634,Renton
1635,Bellevue
1636,Seattle
1637,Seattle
1638,Bellevue
1639,Bellevue
1640,Bellevue
1641,Renton
1642,Federal Way
1643,Seattle
1644,Kent
1645,Seattle
1646,Renton
1647,Seattle
1648,Renton
1649,Renton
1650,Renton
1651,Bellevue
1652,Federal Way
1653,Bellevue
1654,Kent
1655,Seattle
1656,Federal Way
1657,Seattle
1658,Seattle
1659,Renton
1660,Bellevue
1661,Bellevue
1662,Seattle
1663,Seattle
1664,Kent
1665,Seattle
1666,Seattle
1667,Seattle
1668,Seattle
1669,Seattle
1670,Renton
1671,Kent
1672,Seattle
1673,Federal Way
1674,Seattle
1675,Kent
1676,Renton
1677,Seattle
1678,Bellevue
1679,Bellevue
1680,Seattle
1681,Bellevue
1682,Bellevue
1683,Bellevue
1684,Seattle
1685,Bellevue
1686,Renton
1687,Seattle
1688,Bellevue
1689,Federal Way
1690,Bellevue
1691,Bellevue
1692,Seattle
1693,Kent
1694,Kent
1695,Bellevue
1696,Bellevue
1697,Seattle
1698,Kent
1699,Seattle
1700,Kent
1701,Kent
1702,Bellevue
1703,Federal Way
1704,Seattle
1705,Seattle
1706,Federal Way
1707,Bellevue
1708,Renton
1709,Federal Way
1710,Seattle
1711,Kent
1712,Seattle
1713,Kent
1714,Seattle
1715,Seattle
1716,Seattle
1717,Kent
1718,Bellevue
1719,Bellevue
1720,Renton
1721,Renton
1722,Renton
1723,Kent
1724,Federal Way
1725,Kent
1726,Renton
1727,Seattle
1728,Bellevue
1729,Seattle
1730,Bellevue
1731,Bellevue
1732,Seattle
1733,Seattle
1734,Renton
1735,Federal Way
1736,Seattle
1737,Bellevue
1738,Renton
1739,Kent
1740,Renton
1741,Renton
1742,Seattle
1743,Bellevue
1744,Bellevue
1745,Kent
1746,Seattle
1747,Seattle
1748,Renton
1749,Seattle
1750,Seattle
1751,Seattle
1752,Bellevue
1753,Renton
1754,Bellevue
1755,Renton
1756,Bellevue
1757,Seattle
1758,Seattle
1759,Seattle
1760,Renton
1761,Bellevue
1762,Bellevue
1763,Renton
1764,Seattle
1765,Seattle
1766,Seattle
1767,Renton
1768,Bellevue
1769,Seattle
1770,Bellevue
1771,Federal Way
1772,Bellevue
1773,Bellevue
1774,Renton
1775,Kent
1776,Bellevue
1777,Seattle
1778,Seattle
1779,Bellevue
1780,Kent
1781,Seattle
1782,Bellevue
1783,Federal Way
1784,Seattle
1785,Seattle
1786,Seattle
1787,Seattle
1788,Renton
1789,Bellevue
1790,Kent
1791,Federal Way
1792,Seattle
1793,Bellevue
1794,Bellevue
1795,Renton
1796,Seattle
1797,Seattle
1798,Federal Way
1799,Bellevue
1800,Seattle
1801,Renton
1802,Renton
1803,Renton
1804,Bellevue
1805,Kent
1806,Bellevue
1807,Bellevue
1808,Seattle
1809,Renton
1810,Bellevue
1811,Bellevue
1812,Bellevue
1813,Bellevue
1814,Seattle
1815,Seattle
1816,Bellevue
1817,Bellevue
1818,Seattle
1819,Bellevue
1820,Bellevue
1821,Seattle
1822,Renton
1823,Seattle
1824,Seattle
1825,Renton
1826,Seattle
1827,Seattle
1828,Seattle
1829,Seattle
1830,Seattle
1831,Seattle
1832,Kent
1833,Seattle
1834,Kent
1835,Kent
1836,Bellevue
1837,Federal Way
1838,Seattle
1839,Bellevue
1840,Seattle
1841,Bellevue
1842,Seattle
1843,Renton
1844,Seattle
1845,Seattle
1846,Seattle
1847,Kent
1848,Kent
1849,Kent
1850,Bellevue
1851,Renton
1852,Seattle
1853,Kent
1854,Kent
1855,Bellevue
1856,Bellevue
